NAME,B19049_001E_Median_household_income_in_the_past_12_months_(in_2017_inflation-adjusted_dollars)_--_Total,B19049_002E_Median_household_income_in_the_past_12_months_(in_2017_inflation-adjusted_dollars)_--_Householder_under_25_years,B19049_003E_Median_household_income_in_the_past_12_months_(in_2017_inflation-adjusted_dollars)_--_Householder_25_to_44_years,B19049_004E_Median_household_income_in_the_past_12_months_(in_2017_inflation-adjusted_dollars)_--_Householder_45_to_64_years,B19049_005E_Median_household_income_in_the_past_12_months_(in_2017_inflation-adjusted_dollars)_--_Householder_65_years_and_over,state,county,tract
Census Tract 1608.02,42297,-666666666,42177,43750,39750,24,510,160802
Census Tract 603,57679,22000,68487,53750,59583,24,510,60300
Census Tract 801.01,60511,-666666666,46683,83564,56293,24,510,80101
Census Tract 803.02,33429,-666666666,44091,33260,28578,24,510,80302
Census Tract 805,29583,-666666666,33828,24125,62500,24,510,80500
Census Tract 1205,52596,-666666666,54375,62153,40714,24,510,120500
Census Tract 1303,34118,21771,26473,42008,20221,24,510,130300
Census Tract 1308.03,55398,-666666666,63313,55859,45000,24,510,130803
Census Tract 1401,50750,-666666666,81940,86382,24194,24,510,140100
Census Tract 1505,34583,-666666666,55815,32969,28125,24,510,150500
Census Tract 104,112059,-666666666,111667,206771,28090,24,510,10400
Census Tract 202,80221,52813,85208,64934,56250,24,510,20200
Census Tract 301,28227,-666666666,-666666666,21161,-666666666,24,510,30100
Census Tract 302,88077,45481,122188,43333,-666666666,24,510,30200
Census Tract 701,33750,8750,42684,30795,-666666666,24,510,70100
Census Tract 808,33750,-666666666,28008,51750,33462,24,510,80800
Census Tract 801.02,34167,-666666666,34531,34423,32679,24,510,80102
Census Tract 802,28958,-666666666,-666666666,39196,17548,24,510,80200
Census Tract 201,88553,61250,103214,65875,32813,24,510,20100
Census Tract 2604.03,31657,20800,26074,60959,37396,24,510,260403
Census Tract 2302,105511,120174,120526,63063,35909,24,510,230200
